genotype,host_age,tube_id2,read_count_matches
3XTG,7.0,363141325.0,3786
3XTG,7.0,363141326.0,4314
3XTG,7.0,363141328.0,3234
3XTG,7.0,363141329.0,15151
3XTG,7.0,363141338.0,11993
3XTG,7.0,363141347.0,7166
3XTG,7.0,363141770.0,8051
3XTG,7.0,363141779.0,2399
3XTG,7.0,363192935.0,11791
3XTG,7.0,363192944.0,3002
3XTG,7.0,363192951.0,652
3XTG,7.0,363192952.0,3153
3XTG,7.0,363192953.0,5
3XTG,7.0,363192954.0,9530
3XTG,7.0,363192955.0,4018
3XTG,7.0,363192956.0,7079
3XTG,7.0,363193395.0,7210
3XTG,12.0,363192926.0,5629
3XTG,12.0,363192928.0,7188
3XTG,12.0,363192937.0,692
3XTG,12.0,363192940.0,8855
3XTG,12.0,363192949.0,6166
3XTG,12.0,363192950.0,9191
3XTG,12.0,363192960.0,13266
3XTG,12.0,363192961.0,24566
3XTG,12.0,363192966.0,8340
3XTG,12.0,363192972.0,4
3XTG,12.0,363192982.0,5761
3XTG,12.0,363193382.0,11236
3XTG,12.0,363193391.0,12498
3XTG,12.0,363193394.0,5979
3XTG,12.0,363193400.0,7827
3XTG,12.0,363193410.0,311
3XTG,15.0,363141305.0,3717
3XTG,15.0,363141306.0,3243
3XTG,15.0,363141310.0,4857
3XTG,15.0,363141315.0,4271
3XTG,15.0,363141774.0,6920
3XTG,15.0,363141777.0,658
B6,7.0,363192927.0,5091
B6,7.0,363192929.0,3865
B6,7.0,363192939.0,10852
B6,7.0,363192942.0,5700
B6,7.0,363192943.0,6953
B6,7.0,363192957.0,16006
B6,7.0,363192964.0,4383
B6,7.0,363192965.0,5377
B6,7.0,363193392.0,3034
B6,12.0,363192934.0,4590
B6,12.0,363192936.0,7459
B6,12.0,363192945.0,23650
B6,12.0,363192947.0,5626
B6,12.0,363192948.0,4170
B6,12.0,363192958.0,7
B6,12.0,363192959.0,5272
B6,12.0,363192962.0,4275
B6,12.0,363192963.0,8690
B6,12.0,363192970.0,4922
B6,12.0,363192973.0,8433
B6,12.0,363192977.0,8
B6,12.0,363192992.0,7542
B6,12.0,363193393.0,8271
B6,12.0,363193402.0,9644
B6,12.0,363193420.0,9354
B6,15.0,363141277.0,665
B6,15.0,363141307.0,5968
B6,15.0,363141308.0,6556
B6,15.0,363141336.0,1430
B6,15.0,363141345.0,2153
B6,15.0,363141350.0,6872
B6,15.0,363141745.0,5994
B6,15.0,363141752.0,3249
B6,15.0,363141765.0,6447
